Date,NAV per Share,Ex-Dividends,,,
29-Dec-11,87.33,0,,,
30-Dec-11,87.4,0,,,
03-Jan-12,87.97,0,,,
04-Jan-12,88.19,0,,,
05-Jan-12,88.19,0,,,
06-Jan-12,88.26,0,,,
09-Jan-12,88.29,0,,,
10-Jan-12,88.51,0,,,
11-Jan-12,88.44,0,,,
12-Jan-12,88.42,0,,,
13-Jan-12,88.18,0,,,
17-Jan-12,88.4,0,,,
18-Jan-12,88.46,0,,,
19-Jan-12,88.71,0,,,
20-Jan-12,88.73,0,,,
23-Jan-12,89.02,0,,,
24-Jan-12,89.13,0,,,
25-Jan-12,89.39,0,,,
26-Jan-12,89.94,0,,,
27-Jan-12,89.95,0,,,
30-Jan-12,89.75,0,,,
31-Jan-12,89.86,0,,,
01-Feb-12,89.6,0.51,,,
02-Feb-12,89.61,0,,,
03-Feb-12,89.89,0,,,
06-Feb-12,89.99,0,,,
07-Feb-12,90.05,0,,,
08-Feb-12,90.2,0,,,
09-Feb-12,90.23,0,,,
10-Feb-12,89.87,0,,,
13-Feb-12,90.07,0,,,
14-Feb-12,90.03,0,,,
15-Feb-12,90.01,0,,,
16-Feb-12,89.85,0,,,
17-Feb-12,90.16,0,,,
21-Feb-12,90.35,0,,,
22-Feb-12,90.45,0,,,
23-Feb-12,90.71,0,,,
24-Feb-12,90.99,0,,,
27-Feb-12,91.08,0,,,
28-Feb-12,91.27,0,,,
29-Feb-12,91.4,0,,,
01-Mar-12,90.93,0.54,,,
02-Mar-12,90.9,0,,,
05-Mar-12,90.59,0,,,
06-Mar-12,89.79,0,,,
07-Mar-12,89.96,0,,,
08-Mar-12,90.14,0,,,
09-Mar-12,90.29,0,,,
12-Mar-12,90.31,0,,,
13-Mar-12,90.42,0,,,
14-Mar-12,90.56,0,,,
15-Mar-12,90.39,0,,,
16-Mar-12,90.35,0,,,
19-Mar-12,90.4,0,,,
20-Mar-12,90.3,0,,,
21-Mar-12,90.4,0,,,
22-Mar-12,90.25,0,,,
23-Mar-12,90.14,0,,,
26-Mar-12,90.29,0,,,
27-Mar-12,90.35,0,,,
28-Mar-12,90.35,0,,,
29-Mar-12,90.18,0,,,
30-Mar-12,90.28,0,,,
02-Apr-12,89.78,0.55,,,
03-Apr-12,89.86,0,,,
04-Apr-12,89.72,0,,,
05-Apr-12,89.6,0,,,
09-Apr-12,89.29,0,,,
10-Apr-12,89.11,0,,,
11-Apr-12,89.04,0,,,
12-Apr-12,89.32,0,,,
13-Apr-12,89.34,0,,,
16-Apr-12,89.39,0,,,
17-Apr-12,89.64,0,,,
18-Apr-12,89.67,0,,,
19-Apr-12,89.74,0,,,
20-Apr-12,89.76,0,,,
23-Apr-12,89.79,0,,,
24-Apr-12,89.91,0,,,
25-Apr-12,90.24,0,,,
26-Apr-12,90.24,0,,,
27-Apr-12,90.5,0,,,
30-Apr-12,90.67,0,,,
01-May-12,90.55,0.51,,,
02-May-12,90.47,0,,,
03-May-12,90.57,0,,,
04-May-12,90.61,0,,,
07-May-12,90.63,0,,,
08-May-12,90.58,0,,,
09-May-12,90.43,0,,,
10-May-12,90.57,0,,,
11-May-12,90.5,0,,,
14-May-12,90.28,0,,,
15-May-12,90.08,0,,,
16-May-12,89.65,0,,,
17-May-12,88.89,0,,,
18-May-12,88.47,0,,,
21-May-12,88.13,0,,,
22-May-12,88.55,0,,,
23-May-12,88.21,0,,,
24-May-12,88.28,0,,,
25-May-12,88.31,0,,,
29-May-12,88.61,0,,,
30-May-12,88.44,0,,,
31-May-12,88.33,0,,,
01-Jun-12,87.28,0.54,,,
04-Jun-12,87.05,0,,,
05-Jun-12,86.83,0,,,
06-Jun-12,87.42,0,,,
07-Jun-12,87.95,0,,,
08-Jun-12,87.96,0,,,
11-Jun-12,88.16,0,,,
12-Jun-12,88.03,0,,,
13-Jun-12,88.13,0,,,
14-Jun-12,88.24,0,,,
15-Jun-12,88.45,0,,,
