Date,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
28-Mar-14,118.51,110.24,--,"19,100,000.00"
31-Mar-14,118.51,110.25,--,"19,100,000.00"
01-Apr-14,118.52,110.25,0,"22,700,000.00"
02-Apr-14,118.52,110.29,--,"22,800,000.00"
03-Apr-14,118.52,110.26,--,"22,800,000.00"
04-Apr-14,118.51,110.24,--,"22,800,000.00"
07-Apr-14,118.52,110.26,--,"22,900,000.00"
08-Apr-14,118.52,110.26,--,"22,100,000.00"
09-Apr-14,118.52,110.26,--,"22,100,000.00"
10-Apr-14,118.53,110.26,--,"22,100,000.00"
11-Apr-14,118.52,110.25,--,"22,900,000.00"
14-Apr-14,118.52,110.26,--,"22,900,000.00"
15-Apr-14,118.53,110.26,--,"23,200,000.00"
16-Apr-14,118.53,110.26,--,"23,200,000.00"
17-Apr-14,118.52,110.24,--,"23,200,000.00"
21-Apr-14,118.53,110.26,--,"23,200,000.00"
22-Apr-14,118.53,110.26,--,"23,100,000.00"
23-Apr-14,118.53,110.26,--,"23,100,000.00"
24-Apr-14,118.53,110.26,--,"23,100,000.00"
25-Apr-14,118.53,110.25,--,"23,100,000.00"
28-Apr-14,118.53,110.26,--,"23,100,000.00"
29-Apr-14,118.53,110.26,--,"20,900,000.00"
30-Apr-14,118.53,110.26,--,"20,900,000.00"
01-May-14,118.53,110.26,0,"20,900,000.00"
02-May-14,118.53,110.24,--,"20,900,000.00"
05-May-14,118.53,110.26,--,"20,900,000.00"
06-May-14,118.53,110.26,--,"20,900,000.00"
07-May-14,118.53,110.26,--,"20,900,000.00"
08-May-14,118.54,110.26,--,"20,600,000.00"
09-May-14,118.53,110.24,--,"20,600,000.00"
12-May-14,118.53,110.26,--,"20,600,000.00"
13-May-14,118.54,110.26,--,"20,600,000.00"
14-May-14,118.54,110.26,--,"20,700,000.00"
15-May-14,118.54,110.26,--,"20,700,000.00"
16-May-14,118.53,110.25,--,"20,700,000.00"
19-May-14,118.54,110.26,--,"20,700,000.00"
20-May-14,118.54,110.26,--,"19,600,000.00"
21-May-14,118.54,110.26,--,"19,600,000.00"
22-May-14,118.54,110.26,--,"19,600,000.00"
23-May-14,118.53,110.24,--,"19,600,000.00"
27-May-14,118.54,110.26,--,"19,600,000.00"
28-May-14,118.54,110.26,--,"19,600,000.00"
29-May-14,118.54,110.26,--,"19,600,000.00"
30-May-14,118.54,110.24,--,"19,600,000.00"
02-Jun-14,118.54,110.25,0,"20,100,000.00"
03-Jun-14,118.54,110.25,--,"19,700,000.00"
04-Jun-14,118.54,110.25,--,"19,700,000.00"
05-Jun-14,118.54,110.25,--,"19,700,000.00"
06-Jun-14,118.53,110.24,--,"19,700,000.00"
09-Jun-14,118.54,110.25,--,"19,700,000.00"
10-Jun-14,118.54,110.25,--,"19,700,000.00"
11-Jun-14,118.54,110.25,--,"19,700,000.00"
12-Jun-14,118.54,110.25,--,"19,700,000.00"
13-Jun-14,118.53,110.24,--,"19,700,000.00"
16-Jun-14,118.54,110.25,--,"19,700,000.00"
17-Jun-14,118.53,110.25,--,"19,700,000.00"
18-Jun-14,118.54,110.25,--,"19,700,000.00"
19-Jun-14,118.54,110.25,--,"19,700,000.00"
20-Jun-14,118.54,110.24,--,"19,700,000.00"
23-Jun-14,118.54,110.25,--,"19,700,000.00"
24-Jun-14,118.54,110.25,--,"19,600,000.00"
25-Jun-14,118.55,110.25,--,"18,900,000.00"
26-Jun-14,118.55,110.25,--,"18,600,000.00"
27-Jun-14,118.54,110.24,--,"18,600,000.00"
30-Jun-14,118.54,110.25,--,"18,600,000.00"
01-Jul-14,118.55,110.25,0,"18,600,000.00"
02-Jul-14,118.55,110.25,--,"18,600,000.00"
03-Jul-14,118.54,110.23,--,"18,600,000.00"
07-Jul-14,118.55,110.25,--,"18,600,000.00"
08-Jul-14,118.55,110.25,--,"18,600,000.00"
09-Jul-14,118.55,110.25,--,"18,600,000.00"
10-Jul-14,118.55,110.26,--,"18,600,000.00"
11-Jul-14,118.55,110.24,--,"18,600,000.00"
14-Jul-14,118.55,110.25,--,"18,600,000.00"
15-Jul-14,118.55,110.26,--,"18,600,000.00"
16-Jul-14,118.55,110.26,--,"18,600,000.00"
17-Jul-14,118.55,110.26,--,"18,600,000.00"
18-Jul-14,118.55,110.24,--,"18,600,000.00"
21-Jul-14,118.55,110.26,--,"18,600,000.00"
22-Jul-14,118.55,110.26,--,"18,600,000.00"
23-Jul-14,118.56,110.26,--,"18,600,000.00"
24-Jul-14,118.56,110.26,--,"18,600,000.00"
25-Jul-14,118.55,110.24,--,"18,600,000.00"
28-Jul-14,118.56,110.26,--,"18,600,000.00"
29-Jul-14,118.56,110.26,--,"18,600,000.00"
30-Jul-14,118.55,110.25,--,"18,600,000.00"
31-Jul-14,118.55,110.25,--,"18,600,000.00"
01-Aug-14,118.55,110.24,0,"18,600,000.00"
04-Aug-14,118.56,110.26,--,"18,600,000.00"
05-Aug-14,118.56,110.26,--,"18,600,000.00"
06-Aug-14,118.56,110.26,--,"18,600,000.00"
07-Aug-14,118.56,110.26,--,"18,600,000.00"
08-Aug-14,118.56,110.25,--,"18,600,000.00"
11-Aug-14,118.56,110.26,--,"19,100,000.00"
12-Aug-14,118.56,110.26,--,"20,000,000.00"
13-Aug-14,118.56,110.26,--,"20,000,000.00"
14-Aug-14,118.57,110.26,--,"20,000,000.00"
15-Aug-14,118.56,110.25,--,"20,000,000.00"
18-Aug-14,118.57,110.26,--,"20,000,000.00"
19-Aug-14,118.57,110.26,--,"20,400,000.00"
20-Aug-14,118.57,110.26,--,"20,400,000.00"
21-Aug-14,118.57,110.26,--,"20,400,000.00"
22-Aug-14,118.56,110.25,--,"20,400,000.00"
25-Aug-14,118.57,110.26,--,"20,400,000.00"
26-Aug-14,118.57,110.26,--,"20,400,000.00"
27-Aug-14,118.57,110.26,--,"20,400,000.00"
28-Aug-14,118.57,110.26,--,"19,500,000.00"
29-Aug-14,118.57,110.25,--,"19,400,000.00"
02-Sep-14,118.57,110.26,0,"19,400,000.00"
03-Sep-14,118.57,110.26,--,"19,400,000.00"
04-Sep-14,118.57,110.26,--,"19,400,000.00"
05-Sep-14,118.57,110.25,--,"19,400,000.00"
08-Sep-14,118.57,110.26,--,"19,400,000.00"
09-Sep-14,118.57,110.26,--,"18,900,000.00"
10-Sep-14,118.57,110.26,--,"18,800,000.00"
11-Sep-14,118.57,110.26,--,"18,800,000.00"
12-Sep-14,118.57,110.25,--,"18,800,000.00"
15-Sep-14,118.58,110.26,--,"18,800,000.00"
16-Sep-14,118.58,110.26,--,"18,800,000.00"
17-Sep-14,118.58,110.26,--,"18,800,000.00"
18-Sep-14,118.58,110.26,--,"18,800,000.00"
19-Sep-14,118.57,110.25,--,"18,800,000.00"
22-Sep-14,118.58,110.27,--,"18,800,000.00"
23-Sep-14,118.59,110.27,--,"19,300,000.00"
24-Sep-14,118.58,110.27,--,"19,300,000.00"
25-Sep-14,118.59,110.27,--,"19,300,000.00"
26-Sep-14,118.58,110.25,--,"19,300,000.00"
29-Sep-14,118.58,110.27,--,"19,300,000.00"
30-Sep-14,118.58,110.26,--,"21,300,000.00"
01-Oct-14,118.59,110.26,0,"21,200,000.00"
02-Oct-14,118.58,110.26,--,"21,200,000.00"
03-Oct-14,118.58,110.25,--,"21,200,000.00"
06-Oct-14,118.58,110.26,--,"20,800,000.00"
07-Oct-14,118.58,110.26,--,"19,900,000.00"
08-Oct-14,118.59,110.27,--,"19,900,000.00"
09-Oct-14,118.59,110.26,--,"19,900,000.00"
10-Oct-14,118.58,110.24,--,"19,900,000.00"
13-Oct-14,--,110.26,--,"19,900,000.00"
14-Oct-14,118.59,110.26,--,"19,900,000.00"
15-Oct-14,118.59,110.26,--,"19,900,000.00"
16-Oct-14,118.59,110.26,--,"19,900,000.00"
17-Oct-14,118.58,110.25,--,"19,700,000.00"
20-Oct-14,118.59,110.26,--,"19,700,000.00"
21-Oct-14,118.58,110.26,--,"28,600,000.00"
22-Oct-14,118.58,110.26,--,"29,000,000.00"
23-Oct-14,118.58,110.26,--,"29,000,000.00"
24-Oct-14,118.58,110.24,--,"29,000,000.00"
27-Oct-14,118.58,110.26,--,"29,000,000.00"
28-Oct-14,118.58,110.26,--,"37,100,000.00"
29-Oct-14,118.58,110.26,--,"38,300,000.00"
30-Oct-14,118.58,110.26,--,"38,300,000.00"
31-Oct-14,118.58,110.24,--,"38,300,000.00"
03-Nov-14,118.58,110.26,0,"38,300,000.00"
04-Nov-14,118.58,110.26,--,"52,900,000.00"
05-Nov-14,118.58,110.26,--,"52,900,000.00"
06-Nov-14,118.58,110.26,--,"52,900,000.00"
07-Nov-14,118.58,110.24,--,"52,900,000.00"
10-Nov-14,118.58,110.25,--,"52,900,000.00"
11-Nov-14,--,110.26,--,"52,900,000.00"
12-Nov-14,118.58,110.26,--,"52,900,000.00"
13-Nov-14,118.58,110.25,--,"52,900,000.00"
14-Nov-14,118.58,110.24,--,"52,900,000.00"
17-Nov-14,118.58,110.25,--,"52,900,000.00"
18-Nov-14,118.59,110.25,--,"52,900,000.00"
19-Nov-14,118.59,110.26,--,"52,900,000.00"
20-Nov-14,118.59,110.26,--,"52,900,000.00"
21-Nov-14,118.58,110.24,--,"52,900,000.00"
24-Nov-14,118.59,110.26,--,"52,900,000.00"
25-Nov-14,118.59,110.26,--,"50,500,000.00"
26-Nov-14,118.58,110.25,--,"50,500,000.00"
28-Nov-14,118.59,110.24,--,"50,500,000.00"
01-Dec-14,118.59,110.26,0,"50,500,000.00"
02-Dec-14,118.59,110.25,--,"50,900,000.00"
03-Dec-14,118.59,110.25,--,"50,900,000.00"
04-Dec-14,118.58,110.25,--,"50,900,000.00"
05-Dec-14,118.58,110.23,--,"50,900,000.00"
08-Dec-14,118.58,110.24,--,"50,900,000.00"
09-Dec-14,118.57,110.24,--,"46,300,000.00"
10-Dec-14,118.58,110.24,--,"46,200,000.00"
11-Dec-14,118.57,110.24,--,"46,000,000.00"
12-Dec-14,118.57,110.22,--,"46,000,000.00"
15-Dec-14,118.57,110.24,--,"46,000,000.00"
16-Dec-14,118.57,110.23,--,"47,000,000.00"
17-Dec-14,118.57,110.23,--,"47,000,000.00"
18-Dec-14,118.56,110.22,--,"47,000,000.00"
19-Dec-14,118.55,110.2,--,"47,400,000.00"
22-Dec-14,118.56,110.22,--,"47,600,000.00"
23-Dec-14,118.56,110.22,--,"47,700,000.00"
24-Dec-14,118.56,110.22,0,"47,700,000.00"
26-Dec-14,118.56,110.21,--,"47,700,000.00"
29-Dec-14,118.57,110.23,--,"47,700,000.00"
30-Dec-14,118.58,110.24,--,"30,500,000.00"
31-Dec-14,118.57,110.23,--,"28,200,000.00"
02-Jan-15,118.57,110.22,--,"28,200,000.00"
05-Jan-15,118.58,110.24,--,"27,900,000.00"
06-Jan-15,118.58,110.24,--,"27,900,000.00"
07-Jan-15,118.58,110.24,--,"27,700,000.00"
08-Jan-15,118.59,110.25,--,"27,500,000.00"
09-Jan-15,118.59,110.24,--,"27,500,000.00"
12-Jan-15,118.6,110.25,--,"27,500,000.00"
13-Jan-15,118.6,110.25,--,"28,700,000.00"
14-Jan-15,118.6,110.26,--,"28,700,000.00"
15-Jan-15,118.61,110.26,--,"28,600,000.00"
16-Jan-15,118.6,110.24,--,"29,000,000.00"
20-Jan-15,118.61,110.25,--,"27,000,000.00"
21-Jan-15,118.61,110.26,--,"28,500,000.00"
22-Jan-15,118.61,110.26,--,"32,700,000.00"
23-Jan-15,118.61,110.25,--,"32,700,000.00"
26-Jan-15,118.61,110.26,--,"32,700,000.00"
